RM1,RM2,RT1,RT2,T
3999.24,8905.51,38580,10000,1.42
4027.36,8900.11,38570,10000,1.43
4055.47,8894.74,38560,10000,1.44
4083.58,8889.39,38550,10000,1.45
4111.7,8884.08,38540,10000,1.46
4139.81,8878.8,38530,10000,1.47
4167.92,8873.54,38520,10000,1.48
4196.03,8868.31,38510,10000,1.49
4224.13,8863.11,38500,10000,1.5
4252.24,8857.95,38490,10000,1.51
4280.35,8852.8,38480,10000,1.52
4308.45,8847.69,38470,10000,1.53
4336.55,8842.61,38460,10000,1.54
4364.66,8837.55,38450,10000,1.55
4392.76,8832.52,38440,10000,1.56
4420.86,8827.52,38430,10000,1.57
4448.96,8822.55,38420,10000,1.58
4477.06,8817.61,38410,10000,1.59
4505.16,8812.69,38400,10000,1.6
4533.26,8807.8,38390,10000,1.61
4561.35,8802.94,38380,10000,1.62
4589.45,8798.11,38370,10000,1.63
4617.54,8793.31,38360,10000,1.64
4645.63,8788.53,38350,10000,1.65
4673.73,8783.78,38340,10000,1.66
4701.82,8779.06,38330,10000,1.67
4729.91,8774.37,38320,10000,1.68
4758,8769.7,38310,10000,1.69
4786.09,8765.06,38300,10000,1.7
4814.17,8760.45,38290,10000,1.71
4842.26,8755.86,38280,10000,1.72
4870.34,8751.31,38270,10000,1.73
4898.43,8746.78,38260,10000,1.74
4926.51,8742.27,38250,10000,1.75
4954.59,8737.8,38240,10000,1.76
4982.67,8733.35,38230,10000,1.77
5010.75,8728.92,38220,10000,1.78
5038.83,8724.53,38210,10000,1.79
5066.91,8720.16,38200,10000,1.8
5094.99,8715.82,38190,10000,1.81
5123.06,8711.5,38180,10000,1.82
5151.14,8707.21,38170,10000,1.83
5179.21,8702.95,38160,10000,1.84
5207.29,8698.71,38150,10000,1.85
5235.36,8694.5,38140,10000,1.86
5263.43,8690.32,38130,10000,1.87
5291.5,8686.16,38120,10000,1.88
5319.57,8682.03,38110,10000,1.89
5347.64,8677.92,38100,10000,1.9
5375.7,8673.84,38090,10000,1.91
5403.77,8669.79,38080,10000,1.92
5431.83,8665.76,38070,10000,1.93
5459.9,8661.76,38060,10000,1.94
5487.96,8657.78,38050,10000,1.95
5516.02,8653.83,38040,10000,1.96
5544.08,8649.91,38030,10000,1.97
5572.14,8646.01,38020,10000,1.98
5600.2,8642.14,38010,10000,1.99
5628.25,8638.29,38000,10000,2
5656.31,8634.47,37990,10000,2.01
5684.36,8630.67,37980,10000,2.02
5712.42,8626.9,37970,10000,2.03
5740.47,8623.15,37960,10000,2.04
5768.52,8619.43,37950,10000,2.05
5796.57,8615.73,37940,10000,2.06
5824.62,8612.06,37930,10000,2.07
5852.67,8608.42,37920,10000,2.08
5880.72,8604.8,37910,10000,2.09
5908.77,8601.2,37900,10000,2.1
5936.81,8597.63,37890,10000,2.11
5964.85,8594.08,37880,10000,2.12
5992.9,8590.56,37870,10000,2.13
6020.94,8587.06,37860,10000,2.14
6048.98,8583.59,37850,10000,2.15
6077.02,8580.14,37840,10000,2.16
6105.06,8576.72,37830,10000,2.17
6133.1,8573.32,37820,10000,2.18
6161.13,8569.94,37810,10000,2.19
6189.17,8566.59,37800,10000,2.2
6217.2,8563.27,37790,10000,2.21
6245.24,8559.97,37780,10000,2.22
6273.27,8556.69,37770,10000,2.23
6301.3,8553.43,37760,10000,2.24
6329.33,8550.2,37750,10000,2.25
6357.36,8547,37740,10000,2.26
6385.39,8543.82,37730,10000,2.27
6413.41,8540.66,37720,10000,2.28
6441.44,8537.52,37710,10000,2.29
6469.46,8534.41,37700,10000,2.3
6497.48,8531.32,37690,10000,2.31
6525.51,8528.26,37680,10000,2.32
6553.53,8525.22,37670,10000,2.33
6581.55,8522.2,37660,10000,2.34
6609.57,8519.21,37650,10000,2.35
6637.58,8516.24,37640,10000,2.36
6665.6,8513.3,37630,10000,2.37
6693.62,8510.37,37620,10000,2.38
6721.63,8507.47,37610,10000,2.39
6749.64,8504.6,37600,10000,2.4
6777.66,8501.74,37590,10000,2.41
6805.67,8498.91,37580,10000,2.42
6833.68,8496.1,37570,10000,2.43
6861.68,8493.32,37560,10000,2.44
6889.69,8490.56,37550,10000,2.45
6917.7,8487.82,37540,10000,2.46
6945.7,8485.1,37530,10000,2.47
6973.71,8482.41,37520,10000,2.48
7001.71,8479.74,37510,10000,2.49
7029.71,8477.09,37500,10000,2.5
7057.71,8474.46,37490,10000,2.51
7085.71,8471.86,37480,10000,2.52
7113.71,8469.28,37470,10000,2.53
7141.71,8466.72,37460,10000,2.54
7169.71,8464.18,37450,10000,2.55
7197.7,8461.67,37440,10000,2.56
7225.7,8459.17,37430,10000,2.57
7253.69,8456.7,37420,10000,2.58
7281.68,8454.26,37410,10000,2.59
7309.67,8451.83,37400,10000,2.6
7337.66,8449.43,37390,10000,2.61
7365.65,8447.04,37380,10000,2.62
7393.64,8444.68,37370,10000,2.63
7421.62,8442.34,37360,10000,2.64
7449.61,8440.03,37350,10000,2.65
7477.59,8437.73,37340,10000,2.66
7505.57,8435.46,37330,10000,2.67
7533.56,8433.21,37320,10000,2.68
7561.54,8430.98,37310,10000,2.69
7589.52,8428.77,37300,10000,2.7
7617.49,8426.58,37290,10000,2.71
7645.47,8424.41,37280,10000,2.72
7673.45,8422.27,37270,10000,2.73
7701.42,8420.14,37260,10000,2.74
7729.4,8418.04,37250,10000,2.75
7757.37,8415.96,37240,10000,2.76
7785.34,8413.9,37230,10000,2.77
7813.31,8411.86,37220,10000,2.78
7841.28,8409.84,37210,10000,2.79
7869.25,8407.84,37200,10000,2.8
7897.21,8405.87,37190,10000,2.81
7925.18,8403.91,37180,10000,2.82
7953.14,8401.97,37170,10000,2.83
7981.11,8400.06,37160,10000,2.84
8009.07,8398.17,37150,10000,2.85
8037.03,8396.29,37140,10000,2.86
8064.99,8394.44,37130,10000,2.87
8092.95,8392.61,37120,10000,2.88
8120.91,8390.79,37110,10000,2.89
8148.87,8389,37100,10000,2.9
8176.82,8387.23,37090,10000,2.91
8204.78,8385.48,37080,10000,2.92
8232.73,8383.75,37070,10000,2.93
8260.68,8382.04,37060,10000,2.94
8288.63,8380.35,37050,10000,2.95
8316.58,8378.68,37040,10000,2.96
8344.53,8377.03,37030,10000,2.97
8372.48,8375.4,37020,10000,2.98
8400.43,8373.78,37010,10000,2.99
8428.37,8372.19,37000,10000,3
8456.32,8370.62,36990,10000,3.01
8484.26,8369.07,36980,10000,3.02
8512.2,8367.54,36970,10000,3.03
8540.14,8366.03,36960,10000,3.04
8568.08,8364.53,36950,10000,3.05
8596.02,8363.06,36940,10000,3.06
8623.96,8361.61,36930,10000,3.07
8651.89,8360.17,36920,10000,3.08
8679.83,8358.76,36910,10000,3.09
8707.76,8357.36,36900,10000,3.1
8735.7,8355.98,36890,10000,3.11
8763.63,8354.63,36880,10000,3.12
8791.56,8353.29,36870,10000,3.13
8819.49,8351.97,36860,10000,3.14
8847.42,8350.67,36850,10000,3.15
8875.35,8349.39,36840,10000,3.16
8903.27,8348.13,36830,10000,3.17
8931.2,8346.88,36820,10000,3.18
8959.12,8345.66,36810,10000,3.19
8987.04,8344.45,36800,10000,3.2
9014.97,8343.27,36790,10000,3.21
9042.89,8342.1,36780,10000,3.22
9070.81,8340.95,36770,10000,3.23
9098.72,8339.82,36760,10000,3.24
9126.64,8338.71,36750,10000,3.25
9154.56,8337.61,36740,10000,3.26
9182.47,8336.54,36730,10000,3.27
9210.39,8335.48,36720,10000,3.28
9238.3,8334.44,36710,10000,3.29
9266.21,8333.42,36700,10000,3.3
9294.12,8332.42,36690,10000,3.31
9322.03,8331.43,36680,10000,3.32
9349.94,8330.47,36670,10000,3.33
9377.85,8329.52,36660,10000,3.34
9405.76,8328.59,36650,10000,3.35
9433.66,8327.68,36640,10000,3.36
9461.57,8326.78,36630,10000,3.37
9489.47,8325.91,36620,10000,3.38
9517.37,8325.05,36610,10000,3.39
9545.27,8324.21,36600,10000,3.4
9573.17,8323.38,36590,10000,3.41
9601.07,8322.58,36580,10000,3.42
9628.97,8321.79,36570,10000,3.43
9656.86,8321.02,36560,10000,3.44
9684.76,8320.27,36550,10000,3.45
9712.65,8319.53,36540,10000,3.46
9740.55,8318.82,36530,10000,3.47
9768.44,8318.12,36520,10000,3.48
9796.33,8317.43,36510,10000,3.49
9824.22,8316.77,36500,10000,3.5
9852.11,8316.12,36490,10000,3.51
9880,8315.49,36480,10000,3.52
9907.88,8314.87,36470,10000,3.53
9935.77,8314.28,36460,10000,3.54
9963.65,8313.7,36450,10000,3.55
9991.54,8313.13,36440,10000,3.56
10019.4,8312.59,36430,10000,3.57
10047.3,8312.06,36420,10000,3.58
10075.2,8311.54,36410,10000,3.59
10103.1,8311.05,36400,10000,3.6
10130.9,8310.57,36390,10000,3.61
10158.8,8310.11,36380,10000,3.62
10186.7,8309.66,36370,10000,3.63
10214.6,8309.23,36360,10000,3.64
10242.4,8308.82,36350,10000,3.65
10270.3,8308.42,36340,10000,3.66
10298.2,8308.04,36330,10000,3.67
10326.1,8307.68,36320,10000,3.68
10353.9,8307.33,36310,10000,3.69
10381.8,8307,36300,10000,3.7
10409.7,8306.69,36290,10000,3.71
10437.5,8306.39,36280,10000,3.72
10465.4,8306.11,36270,10000,3.73
10493.3,8305.84,36260,10000,3.74
10521.1,8305.59,36250,10000,3.75
10549,8305.36,36240,10000,3.76
10576.8,8305.14,36230,10000,3.77
10604.7,8304.94,36220,10000,3.78
10632.6,8304.75,36210,10000,3.79
10660.4,8304.58,36200,10000,3.8
10688.3,8304.43,36190,10000,3.81
10716.1,8304.29,36180,10000,3.82
10744,8304.17,36170,10000,3.83
10771.8,8304.06,36160,10000,3.84
10799.7,8303.97,36150,10000,3.85
10827.5,8303.89,36140,10000,3.86
10855.4,8303.83,36130,10000,3.87
10883.2,8303.79,36120,10000,3.88
10911.1,8303.76,36110,10000,3.89
10938.9,8303.74,36100,10000,3.9
10966.8,8303.74,36090,10000,3.91
10994.6,8303.76,36080,10000,3.92
11022.5,8303.79,36070,10000,3.93
11050.3,8303.84,36060,10000,3.94
11078.2,8303.9,36050,10000,3.95
11106,8303.97,36040,10000,3.96
11133.8,8304.07,36030,10000,3.97
11161.7,8304.17,36020,10000,3.98
11189.5,8304.29,36010,10000,3.99
11217.4,8304.43,36000,10000,4
11245.2,8304.58,35990,10000,4.01
11273,8304.75,35980,10000,4.02
11300.9,8304.93,35970,10000,4.03
11328.7,8305.13,35960,10000,4.04
11356.5,8305.34,35950,10000,4.05
11384.4,8305.56,35940,10000,4.06
11412.2,8305.8,35930,10000,4.07
11440,8306.05,35920,10000,4.08
11467.8,8306.32,35910,10000,4.09
11495.7,8306.61,35900,10000,4.1
11523.5,8306.9,35890,10000,4.11
11551.3,8307.21,35880,10000,4.12
11579.1,8307.54,35870,10000,4.13
11607,8307.88,35860,10000,4.14
11634.8,8308.24,35850,10000,4.15
11662.6,8308.6,35840,10000,4.16
11690.4,8308.99,35830,10000,4.17
11718.3,8309.38,35820,10000,4.18
11746.1,8309.8,35810,10000,4.19
11773.9,8310.22,35800,10000,4.2
11801.7,8310.66,35790,10000,4.21
11829.5,8311.11,35780,10000,4.22
11857.3,8311.58,35770,10000,4.23
11885.1,8312.06,35760,10000,4.24
11913,8312.55,35750,10000,4.25
11940.8,8313.06,35740,10000,4.26
11968.6,8313.58,35730,10000,4.27
11996.4,8314.12,35720,10000,4.28
12024.2,8314.67,35710,10000,4.29
12052,8315.23,35700,10000,4.3
12079.8,8315.81,35690,10000,4.31
12107.6,8316.4,35680,10000,4.32
